Teachers, Subjects, Fields, Heuristic, Failed_Hours, Practical_Teacher_From_Other_Field, Resumptions, Entailments, Prunings, Backtracks, Constraints_created, Walltime
7.0, 8.0, 2.0, 3.95, 4.93, 7.0, 39104657.0, 4726782.0, 15719859.0, 178461.0, 257.0, 5031.0
12.0, 10.0, 1.0, 8.8, 11.0, 0.0, 40178869.0, 4358451.0, 16002739.0, 178072.0, 438.0, 5077.0
12.0, 10.0, 1.0, 10.19, 12.74, 0.0, 42226798.0, 4991396.0, 17405996.0, 156877.0, 438.0, 5093.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9.0, 10.0, 1.0, 6.82, 8.53, 0.0, 40250395.0, 6289342.0, 17409190.0, 167713.0, 345.0, 5031.0
11.0, 10.0, 1.0, 11.38, 14.22, 0.0, 36465704.0, 6393796.0, 15944033.0, 179280.0, 407.0, 5033.0
12.0, 10.0, 1.0, 11.6, 14.5, 0.0, 38202125.0, 4475587.0, 16125203.0, 175084.0, 438.0, 5046.0
14.0, 10.0, 1.0, 9.92, 12.4, 0.0, 42723460.0, 4994287.0, 17395531.0, 133553.0, 500.0, 5033.0
10.0, 10.0, 1.0, 11.44, 14.3, 0.0, 40410236.0, 6770673.0, 17469965.0, 138873.0, 376.0, 5032.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11.0, 10.0, 1.0, 9.56, 11.95, 0.0, 37522210.0, 5484369.0, 15897415.0, 213845.0, 407.0, 5032.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10.0, 10.0, 1.0, 10.63, 13.29, 0.0, 43443631.0, 4021118.0, 17457360.0, 104021.0, 376.0, 5033.0
13.0, 10.0, 1.0, 10.74, 13.42, 0.0, 36277612.0, 7256558.0, 16048335.0, 165162.0, 469.0, 5062.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12.0, 10.0, 1.0, 6.4, 8.0, 0.0, 39330499.0, 4800340.0, 16664415.0, 164119.0, 438.0, 5033.0
9.0, 10.0, 1.0, 5.85, 7.31, 0.0, 40002138.0, 6122512.0, 16849873.0, 194222.0, 345.0, 5062.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10.0, 10.0, 1.0, 5.95, 7.43, 0.0, 40643578.0, 7016235.0, 17123272.0, 175849.0, 376.0, 5031.0
7.0, 10.0, 1.0, 3.54, 4.43, 0.0, 42757720.0, 6048377.0, 17746510.0, 174046.0, 283.0, 5032.0
8.0, 10.0, 1.0, 4.95, 6.19, 0.0, 39076431.0, 5181660.0, 16375708.0, 179248.0, 314.0, 5032.0
10.0, 10.0, 2.0, 10.32, 12.9, 29.0, 42897221.0, 4079363.0, 16791564.0, 161887.0, 393.0, 5031.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13.0, 10.0, 2.0, 9.5, 11.88, 52.0, 37508428.0, 5284876.0, 16009041.0, 140781.0, 486.0, 5050.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15.0, 10.0, 2.0, 10.76, 13.45, 23.0, 37408273.0, 5091056.0, 15471598.0, 180974.0, 548.0, 5063.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
